material_code,material_name,category,unit,quantity_required,stock_qty,reorder_level,daily_consumption,size_category,lead_time_days,supplier_name,product_id,rack,shelf,box_id
RM001,Copper Wire (1.5mm),Electrical,kg,8.5,5000,750,10.96,large,10,CopperLine Ltd,P001,RK-M01,1,RK-M01-SH01-BX02
RM002,Silicon Steel Sheet,Metal,kg,3.2,8000,1200,17.53,large,8,SteelWorks,P001,RK-M04,1,RK-M04-SH01-BX01
RM003,Aluminum Die Cast Body,Metal,pcs,12,3000,450,6.58,large,12,AlumaCo,P001,RK-M04,1,RK-M04-SH01-BX02
RM004,Capacitor (2.5 uF),Electronic Component,pcs,0.8,20000,3000,43.84,small,7,ElectroBase,P001,RK-M01,3,RK-M01-SH03-BX03
RM005,Ball Bearing (6202),Mechanical,pcs,1.5,15000,2250,32.88,large,9,BearingPro,P001,RK-M02,3,RK-M02-SH03-BX02
RM006,ABS Plastic Blade,Plastic,pcs,2.2,10000,1500,21.92,medium,10,PlastiCore,P001,RK-M06,1,RK-M06-SH01-BX03
RM007,Power Cable (3-core),Electrical,m,1.2,12000,1800,26.3,large,7,WireCo,P001,RK-M01,1,RK-M01-SH01-BX03
RM008,Copper Wire (1.5mm),Electrical,kg,8.5,5000,750,10.96,large,10,CopperLine Ltd,P002,RK-M01,1,RK-M01-SH01-BX02
RM009,Silicon Steel Sheet,Metal,kg,3.2,8000,1200,17.53,large,8,SteelWorks,P002,RK-M04,1,RK-M04-SH01-BX01
RM010,Ball Bearing (6202),Mechanical,pcs,1.5,15000,2250,32.88,large,9,BearingPro,P002,RK-M02,3,RK-M02-SH03-BX02
RM011,Cast Iron Pump Body,Metal,pcs,18,2000,300,4.38,large,14,IronCast Co,P002,RK-M04,1,RK-M04-SH01-BX03
RM012,Mechanical Seal,Mechanical,pcs,4.5,5000,750,10.96,large,12,SealTech,P002,RK-M02,3,RK-M02-SH03-BX03
RM013,Impeller (Stainless Steel),Metal,pcs,8,3000,450,6.58,large,10,SteelWorks,P002,RK-M04,2,RK-M04-SH02-BX01
RM014,Power Cable (3-core),Electrical,m,1.2,12000,1800,26.3,large,7,WireCo,P002,RK-M01,1,RK-M01-SH01-BX03
RM015,Copper Wire (1.5mm),Electrical,kg,8.5,5000,750,10.96,large,10,CopperLine Ltd,P003,RK-M01,1,RK-M01-SH01-BX02
RM016,Silicon Steel Sheet,Metal,kg,3.2,8000,1200,17.53,large,8,SteelWorks,P003,RK-M04,1,RK-M04-SH01-BX01
RM017,Ball Bearing (6202),Mechanical,pcs,1.5,15000,2250,32.88,large,9,BearingPro,P003,RK-M02,3,RK-M02-SH03-BX02
RM018,Motor Shaft (Steel),Metal,pcs,6.5,4000,600,8.77,large,10,SteelWorks,P003,RK-M04,2,RK-M04-SH02-BX02
RM019,Rotor Assembly,Mechanical,pcs,14,2000,300,4.38,large,15,MechParts,P003,RK-M03,1,RK-M03-SH01-BX01
RM020,Stator Frame (Cast Iron),Metal,pcs,20,1500,225,3.29,large,14,IronCast Co,P003,RK-M04,2,RK-M04-SH02-BX03
RM021,Power Cable (3-core),Electrical,m,1.2,12000,1800,26.3,large,7,WireCo,P003,RK-M01,1,RK-M01-SH01-BX03
RM022,Copper Wire (1.5mm),Electrical,kg,8.5,5000,750,10.96,large,10,CopperLine Ltd,P004,RK-M01,1,RK-M01-SH01-BX02
RM023,Ball Bearing (6202),Mechanical,pcs,1.5,15000,2250,32.88,large,9,BearingPro,P004,RK-M02,3,RK-M02-SH03-BX02
RM024,Cast Iron Pump Body,Metal,pcs,18,2000,300,4.38,large,14,IronCast Co,P004,RK-M04,1,RK-M04-SH01-BX03
RM025,Pressure Tank (24L Steel),Metal,pcs,35,800,120,1.75,large,12,SteelWorks,P004,RK-M04,3,RK-M04-SH03-BX01
RM026,Pressure Relief Valve,Mechanical,pcs,3.2,6000,900,13.15,large,10,ValveCo,P004,RK-M03,1,RK-M03-SH01-BX02
RM027,Piston Ring Set,Mechanical,pcs,5,4000,600,8.77,large,12,MechParts,P004,RK-M03,1,RK-M03-SH01-BX03
RM028,Mechanical Seal,Mechanical,pcs,4.5,5000,750,10.96,large,12,SealTech,P004,RK-M02,3,RK-M02-SH03-BX03
RM029,Power Cable (3-core),Electrical,m,1.2,12000,1800,26.3,large,7,WireCo,P004,RK-M01,1,RK-M01-SH01-BX03
RM030,Copper Wire (1.5mm),Electrical,kg,8.5,5000,750,10.96,large,10,CopperLine Ltd,P005,RK-M01,1,RK-M01-SH01-BX02
RM031,Ball Bearing (6202),Mechanical,pcs,1.5,15000,2250,32.88,large,9,BearingPro,P005,RK-M02,3,RK-M02-SH03-BX02
RM032,Mechanical Seal,Mechanical,pcs,4.5,5000,750,10.96,large,12,SealTech,P005,RK-M02,3,RK-M02-SH03-BX03
RM033,Impeller (Stainless Steel),Metal,pcs,8,3000,450,6.58,large,10,SteelWorks,P005,RK-M04,2,RK-M04-SH02-BX01
RM034,Stainless Steel Casing,Metal,pcs,22,2000,300,4.38,large,12,SteelWorks,P005,RK-M04,3,RK-M04-SH03-BX02
RM035,Waterproof Cable (4-core),Electrical,m,2.5,5000,750,10.96,large,8,WireCo,P005,RK-M01,2,RK-M01-SH02-BX01
RM036,Copper Wire (1.5mm),Electrical,kg,8.5,5000,750,10.96,large,10,CopperLine Ltd,P006,RK-M01,1,RK-M01-SH01-BX02
RM037,Silicon Steel Sheet,Metal,kg,3.2,8000,1200,17.53,large,8,SteelWorks,P006,RK-M04,1,RK-M04-SH01-BX01
RM038,Aluminum Die Cast Body,Metal,pcs,12,3000,450,6.58,large,12,AlumaCo,P006,RK-M04,1,RK-M04-SH01-BX02
RM039,Ball Bearing (6202),Mechanical,pcs,1.5,15000,2250,32.88,large,9,BearingPro,P006,RK-M02,3,RK-M02-SH03-BX02
RM040,Galvanized Steel Blade,Metal,pcs,3.5,5000,750,10.96,large,10,SteelWorks,P006,RK-M04,3,RK-M04-SH03-BX03
RM041,Power Cable (3-core),Electrical,m,1.2,12000,1800,26.3,large,7,WireCo,P006,RK-M01,1,RK-M01-SH01-BX03
RM042,Wire Guard Mesh,Metal,pcs,4,3000,450,6.58,large,9,MetalMesh Co,P006,RK-M05,1,RK-M05-SH01-BX01
RM043,Copper Wire (1.5mm),Electrical,kg,8.5,5000,750,10.96,large,10,CopperLine Ltd,P007,RK-M01,1,RK-M01-SH01-BX02
RM044,Silicon Steel Sheet,Metal,kg,3.2,8000,1200,17.53,large,8,SteelWorks,P007,RK-M04,1,RK-M04-SH01-BX01
RM045,Transformer Oil,Liquid,litre,3,2000,300,4.38,large,12,ChemPlus,P007,RK-M02,2,RK-M02-SH02-BX02
RM046,Insulation Paper (Kraft),Insulation,kg,4.5,3000,450,6.58,large,10,InsulateCo,P007,RK-M02,2,RK-M02-SH02-BX01
RM047,Steel Core Lamination,Metal,kg,3.8,4000,600,8.77,large,10,SteelWorks,P007,RK-M05,1,RK-M05-SH01-BX02
RM048,Terminal Block,Electrical,pcs,2.5,10000,1500,21.92,medium,7,ElectroBase,P007,RK-M01,2,RK-M01-SH02-BX02
RM049,Terminal Block,Electrical,pcs,2.5,10000,1500,21.92,medium,7,ElectroBase,P008,RK-M01,2,RK-M01-SH02-BX02
RM050,MCB Circuit Breaker (32A),Electrical,pcs,4.8,8000,1200,17.53,medium,8,ElectroBase,P008,RK-M01,2,RK-M01-SH02-BX03
RM051,Copper Bus Bar,Electrical,kg,9,3000,450,6.58,large,10,CopperLine Ltd,P008,RK-M01,3,RK-M01-SH03-BX01
RM052,Sheet Metal Box (MS),Metal,pcs,15,2000,300,4.38,large,10,SteelWorks,P008,RK-M05,1,RK-M05-SH01-BX03
RM053,Power Cable (3-core),Electrical,m,1.2,12000,1800,26.3,large,7,WireCo,P008,RK-M01,1,RK-M01-SH01-BX03
RM054,DIN Rail (1m),Electrical,pcs,2,10000,1500,21.92,medium,7,ElectroBase,P008,RK-M01,3,RK-M01-SH03-BX02
RM055,Ball Bearing (6202),Mechanical,pcs,1.5,15000,2250,32.88,large,9,BearingPro,P009,RK-M02,3,RK-M02-SH03-BX02
RM056,Motor Shaft (Steel),Metal,pcs,6.5,4000,600,8.77,large,10,SteelWorks,P009,RK-M04,2,RK-M04-SH02-BX02
RM057,Helical Gear Set,Mechanical,pcs,28,1000,150,2.19,large,18,GearTech,P009,RK-M03,2,RK-M03-SH02-BX01
RM058,Stator Frame (Cast Iron),Metal,pcs,20,1500,225,3.29,large,14,IronCast Co,P009,RK-M04,2,RK-M04-SH02-BX03
RM059,Gear Box Oil Seal,Mechanical,pcs,1.2,8000,1200,17.53,large,10,SealTech,P009,RK-M03,2,RK-M03-SH02-BX02
RM060,Lubricating Grease,Liquid,kg,5.5,4000,600,8.77,large,8,ChemPlus,P009,RK-M02,2,RK-M02-SH02-BX03
RM061,Rubber Conveyor Belt,Rubber,m,14,500,75,1.1,large,15,RubberTech,P010,RK-M06,2,RK-M06-SH02-BX03
RM062,Ball Bearing (6202),Mechanical,pcs,1.5,15000,2250,32.88,large,9,BearingPro,P010,RK-M02,3,RK-M02-SH03-BX02
RM063,Motor Shaft (Steel),Metal,pcs,6.5,4000,600,8.77,large,10,SteelWorks,P010,RK-M04,2,RK-M04-SH02-BX02
RM064,Copper Wire (1.5mm),Electrical,kg,8.5,5000,750,10.96,large,10,CopperLine Ltd,P010,RK-M01,1,RK-M01-SH01-BX02
RM065,Helical Gear Set,Mechanical,pcs,28,1000,150,2.19,large,18,GearTech,P010,RK-M03,2,RK-M03-SH02-BX01
RM066,MS Steel Frame,Metal,kg,2.8,3000,450,6.58,large,10,SteelWorks,P010,RK-M05,2,RK-M05-SH02-BX01
RM067,Lubricating Grease,Liquid,kg,5.5,4000,600,8.77,large,8,ChemPlus,P010,RK-M02,2,RK-M02-SH02-BX03
RM068,Hydraulic Cylinder,Mechanical,pcs,55,400,60,0.88,large,20,HydroTech,P011,RK-M03,2,RK-M03-SH02-BX03
RM069,Hydraulic Oil,Liquid,litre,4,3000,450,6.58,large,10,ChemPlus,P011,RK-M02,3,RK-M02-SH03-BX01
RM070,Pressure Relief Valve,Mechanical,pcs,3.2,6000,900,13.15,large,10,ValveCo,P011,RK-M03,1,RK-M03-SH01-BX02
RM071,MS Steel Frame,Metal,kg,2.8,3000,450,6.58,large,10,SteelWorks,P011,RK-M05,2,RK-M05-SH02-BX01
RM072,Mechanical Seal,Mechanical,pcs,4.5,5000,750,10.96,large,12,SealTech,P011,RK-M02,3,RK-M02-SH03-BX03
RM073,High Pressure Hose,Rubber,m,8.5,2000,300,4.38,large,12,RubberTech,P011,RK-M06,3,RK-M06-SH03-BX01
RM074,Power Cable (3-core),Electrical,m,1.2,12000,1800,26.3,large,7,WireCo,P011,RK-M01,1,RK-M01-SH01-BX03
RM075,Copper Wire (1.5mm),Electrical,kg,8.5,5000,750,10.96,large,10,CopperLine Ltd,P012,RK-M01,1,RK-M01-SH01-BX02
RM076,Silicon Steel Sheet,Metal,kg,3.2,8000,1200,17.53,large,8,SteelWorks,P012,RK-M04,1,RK-M04-SH01-BX01
RM077,Ball Bearing (6202),Mechanical,pcs,1.5,15000,2250,32.88,large,9,BearingPro,P012,RK-M02,3,RK-M02-SH03-BX02
RM078,Motor Shaft (Steel),Metal,pcs,6.5,4000,600,8.77,large,10,SteelWorks,P012,RK-M04,2,RK-M04-SH02-BX02
RM079,Alternator Rotor,Mechanical,pcs,45,500,75,1.1,large,18,MechParts,P012,RK-M03,3,RK-M03-SH03-BX01
RM080,Fuel Tank (20L Steel),Metal,pcs,22,800,120,1.75,large,12,SteelWorks,P012,RK-M05,2,RK-M05-SH02-BX02
RM081,Terminal Block,Electrical,pcs,2.5,10000,1500,21.92,medium,7,ElectroBase,P012,RK-M01,2,RK-M01-SH02-BX02
RM082,Copper Wire (1.5mm),Electrical,kg,8.5,5000,750,10.96,large,10,CopperLine Ltd,P013,RK-M01,1,RK-M01-SH01-BX02
RM083,Silicon Steel Sheet,Metal,kg,3.2,8000,1200,17.53,large,8,SteelWorks,P013,RK-M04,1,RK-M04-SH01-BX01
RM084,Aluminum Die Cast Body,Metal,pcs,12,3000,450,6.58,large,12,AlumaCo,P013,RK-M04,1,RK-M04-SH01-BX02
RM085,Ball Bearing (6202),Mechanical,pcs,1.5,15000,2250,32.88,large,9,BearingPro,P013,RK-M02,3,RK-M02-SH03-BX02
RM086,Impeller Wheel (Aluminum),Metal,pcs,18,1500,225,3.29,large,14,AlumaCo,P013,RK-M05,2,RK-M05-SH02-BX03
RM087,Wire Guard Mesh,Metal,pcs,4,3000,450,6.58,large,9,MetalMesh Co,P013,RK-M05,1,RK-M05-SH01-BX01
RM088,Power Cable (3-core),Electrical,m,1.2,12000,1800,26.3,large,7,WireCo,P013,RK-M01,1,RK-M01-SH01-BX03
RM089,MCB Circuit Breaker (32A),Electrical,pcs,4.8,8000,1200,17.53,medium,8,ElectroBase,P014,RK-M01,2,RK-M01-SH02-BX03
RM090,Terminal Block,Electrical,pcs,2.5,10000,1500,21.92,medium,7,ElectroBase,P014,RK-M01,2,RK-M01-SH02-BX02
RM091,DIN Rail (1m),Electrical,pcs,2,10000,1500,21.92,medium,7,ElectroBase,P014,RK-M01,3,RK-M01-SH03-BX02
RM092,PLC Controller Module,Electronic Component,pcs,85,500,75,1.1,small,20,AutoTech,P014,RK-M02,1,RK-M02-SH01-BX01
RM093,Relay Module (24V),Electronic Component,pcs,3.5,5000,750,10.96,small,8,ElectroBase,P014,RK-M02,1,RK-M02-SH01-BX02
RM094,Sheet Metal Box (MS),Metal,pcs,15,2000,300,4.38,large,10,SteelWorks,P014,RK-M05,1,RK-M05-SH01-BX03
RM095,Power Cable (3-core),Electrical,m,1.2,12000,1800,26.3,large,7,WireCo,P014,RK-M01,1,RK-M01-SH01-BX03
RM096,Piston Ring Set,Mechanical,pcs,5,4000,600,8.77,large,12,MechParts,P015,RK-M03,1,RK-M03-SH01-BX03
RM097,Ball Bearing (6202),Mechanical,pcs,1.5,15000,2250,32.88,large,9,BearingPro,P015,RK-M02,3,RK-M02-SH03-BX02
RM098,Motor Shaft (Steel),Metal,pcs,6.5,4000,600,8.77,large,10,SteelWorks,P015,RK-M04,2,RK-M04-SH02-BX02
RM099,Lubricating Grease,Liquid,kg,5.5,4000,600,8.77,large,8,ChemPlus,P015,RK-M02,2,RK-M02-SH02-BX03
RM100,Cylinder Block (Cast Iron),Metal,pcs,80,400,60,0.88,large,20,IronCast Co,P015,RK-M05,3,RK-M05-SH03-BX01
RM101,Crankshaft (Forged Steel),Metal,pcs,55,500,75,1.1,large,18,SteelWorks,P015,RK-M05,3,RK-M05-SH03-BX02
RM102,Fuel Tank (20L Steel),Metal,pcs,22,800,120,1.75,large,12,SteelWorks,P015,RK-M05,2,RK-M05-SH02-BX02
RM103,Fuel Injector,Mechanical,pcs,30,1000,150,2.19,large,15,ValveCo,P015,RK-M03,3,RK-M03-SH03-BX02
RM104,FRP Shell Panel,Composite,pcs,25,400,60,0.88,large,18,FRPWorks,P016,RK-M01,1,RK-M01-SH01-BX01
RM105,Copper Wire (1.5mm),Electrical,kg,8.5,5000,750,10.96,large,10,CopperLine Ltd,P016,RK-M01,1,RK-M01-SH01-BX02
RM106,Ball Bearing (6202),Mechanical,pcs,1.5,15000,2250,32.88,large,9,BearingPro,P016,RK-M02,3,RK-M02-SH03-BX02
RM107,Pressure Relief Valve,Mechanical,pcs,3.2,6000,900,13.15,large,10,ValveCo,P016,RK-M03,1,RK-M03-SH01-BX02
RM108,PVC Fill Media,Plastic,kg,3.8,2000,300,4.38,large,12,PlastiCore,P016,RK-M06,2,RK-M06-SH02-BX01
RM109,Drift Eliminator (PVC),Plastic,pcs,6,2000,300,4.38,medium,12,PlastiCore,P016,RK-M06,2,RK-M06-SH02-BX02
RM110,Power Cable (3-core),Electrical,m,1.2,12000,1800,26.3,large,7,WireCo,P016,RK-M01,1,RK-M01-SH01-BX03
RM111,Mechanical Seal,Mechanical,pcs,4.5,5000,750,10.96,large,12,SealTech,P017,RK-M02,3,RK-M02-SH03-BX03
RM112,Piston Ring Set,Mechanical,pcs,5,4000,600,8.77,large,12,MechParts,P017,RK-M03,1,RK-M03-SH01-BX03
RM113,Stainless Steel Casing,Metal,pcs,22,2000,300,4.38,large,12,SteelWorks,P017,RK-M04,3,RK-M04-SH03-BX02
RM114,Pressure Relief Valve,Mechanical,pcs,3.2,6000,900,13.15,large,10,ValveCo,P017,RK-M03,1,RK-M03-SH01-BX02
RM115,Aluminum End Cap,Metal,pcs,4.5,4000,600,8.77,large,10,AlumaCo,P017,RK-M05,3,RK-M05-SH03-BX03
RM116,Gear Box Oil Seal,Mechanical,pcs,1.2,8000,1200,17.53,large,10,SealTech,P017,RK-M03,2,RK-M03-SH02-BX02
RM117,Load Cell Sensor (500kg),Sensor,pcs,12,2000,300,4.38,small,15,SensorTech,P018,RK-M06,3,RK-M06-SH03-BX02
RM118,PLC Controller Module,Electronic Component,pcs,85,500,75,1.1,small,20,AutoTech,P018,RK-M02,1,RK-M02-SH01-BX01
RM119,Terminal Block,Electrical,pcs,2.5,10000,1500,21.92,medium,7,ElectroBase,P018,RK-M01,2,RK-M01-SH02-BX02
RM120,MS Steel Frame,Metal,kg,2.8,3000,450,6.58,large,10,SteelWorks,P018,RK-M05,2,RK-M05-SH02-BX01
RM121,LED Display Unit,Electronic Component,pcs,18,1500,225,3.29,small,12,ElectroBase,P018,RK-M02,1,RK-M02-SH01-BX03
RM122,Power Cable (3-core),Electrical,m,1.2,12000,1800,26.3,large,7,WireCo,P018,RK-M01,1,RK-M01-SH01-BX03
RM123,MS Steel Frame,Metal,kg,2.8,3000,450,6.58,large,10,SteelWorks,P019,RK-M05,2,RK-M05-SH02-BX01
RM124,Ball Bearing (6202),Mechanical,pcs,1.5,15000,2250,32.88,large,9,BearingPro,P019,RK-M02,3,RK-M02-SH03-BX02
RM125,Motor Shaft (Steel),Metal,pcs,6.5,4000,600,8.77,large,10,SteelWorks,P019,RK-M04,2,RK-M04-SH02-BX02
RM126,Lubricating Grease,Liquid,kg,5.5,4000,600,8.77,large,8,ChemPlus,P019,RK-M02,2,RK-M02-SH02-BX03
RM127,Helical Screw Blade (MS),Metal,pcs,30,800,120,1.75,large,14,SteelWorks,P019,RK-M06,1,RK-M06-SH01-BX01
RM128,Copper Wire (1.5mm),Electrical,kg,8.5,5000,750,10.96,large,10,CopperLine Ltd,P019,RK-M01,1,RK-M01-SH01-BX02
RM129,Power Cable (3-core),Electrical,m,1.2,12000,1800,26.3,large,7,WireCo,P019,RK-M01,1,RK-M01-SH01-BX03
RM130,MS Steel Frame,Metal,kg,2.8,3000,450,6.58,large,10,SteelWorks,P020,RK-M05,2,RK-M05-SH02-BX01
RM131,Ball Bearing (6202),Mechanical,pcs,1.5,15000,2250,32.88,large,9,BearingPro,P020,RK-M02,3,RK-M02-SH03-BX02
RM132,Copper Wire (1.5mm),Electrical,kg,8.5,5000,750,10.96,large,10,CopperLine Ltd,P020,RK-M01,1,RK-M01-SH01-BX02
RM133,Woven Wire Mesh Screen,Metal,pcs,20,1000,150,2.19,large,12,MetalMesh Co,P020,RK-M06,1,RK-M06-SH01-BX02
RM134,Vibration Motor (0.5HP),Mechanical,pcs,18,800,120,1.75,large,14,MechParts,P020,RK-M03,3,RK-M03-SH03-BX03
RM135,Rubber Conveyor Belt,Rubber,m,14,500,75,1.1,large,15,RubberTech,P020,RK-M06,2,RK-M06-SH02-BX03
RM136,Power Cable (3-core),Electrical,m,1.2,12000,1800,26.3,large,7,WireCo,P020,RK-M01,1,RK-M01-SH01-BX03
